Date,Positive,Negative,Neutral,NEO,NVolume,BTC,BVolume,ETH,EVolume
2020-11-17,9,4,2,16.163713,541839394,17645.40625,39006849170,480.360077,14593057877
2020-11-16,3,3,0,15.725357,383915354,16716.111328,31526766675,459.940308,11441239444
2020-11-15,1,4,4,15.28839,406207296,15955.587891,23653867583,447.559082,10308617165
2020-11-14,6,2,3,15.697224,428467411,16068.138672,27481710135,460.149841,10312037942
2020-11-13,1,8,2,15.983926,456511870,16317.808594,31599492172,474.626434,13191505725
2020-11-12,3,1,2,15.459258,424764093,16276.34375,34175758344,461.00528,12877327234
2020-11-11,2,4,2,15.469389,489840982,15701.339844,29772374934,462.960541,14075403511
2020-11-10,5,2,1,15.586003,454230927,15290.902344,25574938143,449.679626,12090381666
2020-11-09,4,3,0,15.377233,530237787,15332.31543,34149115566,444.163055,13704320630
2020-11-08,3,0,0,15.43631,505520194,15479.567383,26632075029,453.554779,11292383601
2020-11-07,4,8,0,14.852203,802230674,14833.753906,35024953706,435.713135,18873289788
2020-11-06,11,1,4,15.66324,633850183,15565.880859,39837841971,454.719299,16738305610
2020-11-05,6,2,0,14.423635,514384119,15579.848633,40856321439,414.067352,15440711038
2020-11-04,4,4,1,14.076204,573950618,14133.707031,35116364962,402.141998,15126077675
2020-11-03,4,1,2,14.671025,502014093,13950.300781,29869951617,387.602173,12588494762
2020-11-02,6,3,2,15.2195,514127332,13550.489258,30771455468,383.156738,13997574252
2020-11-01,3,3,2,14.89256,319089147,13737.109375,24453857900,396.358185,10475146018
2020-10-31,4,3,0,14.738974,362019630,13780.995117,30306464719,386.590332,11276963426
2020-10-30,2,4,1,14.829517,432449850,13546.522461,30581485201,382.819977,13688056970
2020-10-29,4,2,0,15.272768,408337717,13437.882813,56499499598,386.730103,12920477749
2020-10-28,5,2,4,15.890235,441414414,13271.285156,35867318895,388.650757,15276441134
2020-10-27,8,1,2,17.040951,373272348,13654.21875,33749878156,403.99704,13940434102
2020-10-26,2,2,2,17.105753,403678837,13075.248047,29461458313,393.888306,15155684229
2020-10-25,4,3,0,17.877258,365386353,13031.173828,24406920575,406.217773,10890207469
2020-10-24,3,1,0,18.32773,352619886,13108.0625,24542317940,412.457611,12201739194
2020-10-23,8,3,2,18.124266,399678152,12931.539063,28974975003,409.766693,14256222052
2020-10-22,6,4,1,18.625763,459336790,12965.891602,34729759598,413.77298,15772846485
2020-10-21,6,1,1,18.390617,701500982,12823.689453,43414712626,392.189972,20241324322
2020-10-20,0,2,0,16.983517,548985579,11916.334961,30915821592,369.136902,13741586582
2020-10-19,3,3,0,17.565376,447121354,11742.037109,23860769928,379.935608,12811242092
2020-10-18,4,2,1,17.411764,324662590,11483.359375,18283314340,378.213684,11047103109
2020-10-17,8,2,1,17.244795,272870874,11358.101563,19130430174,368.855927,10951115359
2020-10-16,4,0,0,16.993332,377351672,11322.123047,25635480772,366.229004,14670784817
2020-10-15,9,2,2,17.261557,392253275,11495.349609,24487233058,377.441833,14964182545
2020-10-14,10,2,0,17.026714,391049124,11429.506836,24103426719,379.484039,13918846567
2020-10-13,9,3,1,,,,,,
2020-10-12,3,1,3,,,,,,
2020-10-11,4,2,1,17.822174,315804818,11384.181641,19968627060,375.142059,12584512533
2020-10-10,3,2,1,17.568113,382818959,11296.361328,22877978588,370.96759,13618484324
2020-10-09,3,2,3,,,,,,
2020-10-08,7,5,1,17.0249,397883893,10923.62793,21962121001,351.455658,11511016796
2020-10-07,6,2,1,16.820032,380265314,10679.136719,17634388529,342.119781,10537119715
2020-10-06,5,6,2,16.628807,511618485,10621.664063,22264958686,341.021149,11497841885
2020-10-05,3,4,0,17.718653,371940881,10804.000977,19385191766,354.2771,9933790982
2020-10-04,6,3,0,18.212797,340560135,10684.428711,17546792792,353.121918,9308536486
2020-10-03,6,5,3,17.939484,345896448,10565.493164,17094010304,347.321594,8599594017
2020-10-02,9,2,0,18.129234,485162439,10585.164063,23127839259,346.532654,12946215647
2020-10-01,7,7,2,18.797522,517864276,10623.330078,27178227816,353.231293,12360670278
2020-09-30,6,6,1,19.085114,502843235,10787.618164,20759622010,360.022369,9773649426
2020-09-29,4,11,5,19.783648,520040456,10848.830078,20459870042,359.963409,10286529445
2020-09-28,13,9,3,20.126869,590927629,10721.327148,22720365389,354.9505,12102509266
2020-09-27,14,17,3,21.165697,505963063,10774.426758,18016880214,357.321686,11464393949
2020-09-26,11,6,4,21.150364,587924270,10754.4375,18105012128,354.965271,11036752997
2020-09-25,14,19,11,21.382118,863550552,10702.290039,21232549821,352.161865,12254269350
2020-09-24,21,14,10,21.845398,696909813,10745.548828,23017536742,349.356659,13460565701
2020-09-23,23,10,1,19.680405,846568356,10225.864258,22986733997,320.585541,12047020995
2020-09-22,4,7,2,20.203371,780984727,10538.459961,23621787804,344.503174,12732578043
2020-09-21,17,8,8,20.189234,1295549367,10462.259766,28884999244,341.786072,17398267133
2020-09-20,10,13,8,23.66223,1179967293,10938.271484,24699523788,371.052826,12292195784
2020-09-19,18,8,4,24.622923,904395116,11094.34668,22764204008,385.544373,11049507684
2020-09-18,24,30,5,25.287544,1208325976,10944.585938,26341903912,384.364532,14108357740
2020-09-17,34,22,14,23.754778,1201289149,10948.990234,38151810523,389.019226,19899531080
2020-09-16,14,4,5,21.044815,1108185833,10974.905273,30769986455,365.812286,16107612177
2020-09-15,14,10,3,20.233727,1116525154,10796.951172,32509451925,364.839203,16140584321
2020-09-14,18,10,2,22.032351,1095344442,10680.837891,35453581940,377.26886,17536695361
2020-09-13,6,9,4,20.290119,999879094,10323.755859,36506852789,365.570007,15005899191
2020-09-12,10,5,4,21.687984,1068944035,10442.170898,36750077324,387.183105,13295405814
2020-09-11,16,11,3,20.394979,1193567881,10400.915039,45201121775,374.695587,27296269329
